Genes,Importances
ADGRA2,0.000879841
TLR10,0.00087964
SLC66A1L,0.000876959
ARHGAP10,0.000876777
ACSL6-AS1,0.000876103
TCP1P1,0.000875716
NLRP6,0.000875149
ZNF394,0.000875144
PDE7A,0.000870838
FECH,0.000870422
SLC37A4,0.000869394
TSC2,0.000868037
TSSK1A,0.000868012
TK1,0.000866727
E2F6,0.000866243
MUCL1,0.000865817
KCNJ4,0.000865664
MBLAC2,0.000865095
HDAC7,0.000865068
MIR891A,0.000863671
FAM30A,0.000863563
PLP1,0.000863088
HNRNPA1P2,0.000862948
DNAJC19P6,0.00086289
RN7SL545P,0.000862687
PPP2CB,0.000862041
SP3P,0.000862036
GRM7,0.000860881
SEC24D,0.000860839
MEST,0.000858666
LSM6,0.000858092
ZPBP,0.000857551
COL10A1,0.000857105
GPAT3,0.000855537
TACC3,0.000855376
SCGB1D1,0.000852971
ZNF25,0.000851791
TPST1,0.000851523
CNKSR3,0.000851391
GLIPR1,0.000849402
ABCC9,0.000848977
UGT2B4,0.000848974
PI4KAP2,0.00084868
BGLT3,0.000847801
PRSS35,0.000847074
WNT9B,0.000845969
LIPA,0.000845849
SREBF2-AS1,0.00084431
MAVS,0.000843846
SLFN12,0.000843452
CECR2,0.00084239
FABP5P12,0.000841887
KLK1,0.000840517
FHL2,0.000839962
ZNF564,0.000838022
UPK1A,0.000836787
NACC1,0.000836455
LINC02108,0.00083644
FARSBP1,0.000836299
CELF1,0.000835503
FIBIN,0.000835195
NKD2,0.000834015
ROBO3,0.000833833
WEE1,0.000833319
TBC1D9,0.00083243
ZNF737,0.000830559
SHLD2P1,0.000830074
IGHV3-64,0.000829434
CKAP2,0.000829287
PLP2,0.000828307
OR51S1,0.000825705
SYF2,0.000825591
SPRR4,0.000824729
SEPTIN3,0.000824225
HMGN4,0.000823728
RNF112,0.000822454
TNFAIP3,0.00082239
DSPP,0.000821871
PI16,0.000821451
SULT1A1,0.000821391
IFT81,0.000820778
TPT1,0.000820421
TLX2,0.000819886
POLR3A,0.000819001
MIR4797,0.000818341
ZNF428,0.000817239
SF3A1,0.000817133
PSMG1,0.000814756
C4orf45,0.000814075
TBCK,0.000813329
OR9Q2,0.000813062
AANAT,0.000812652
ALDOB,0.000812523
LMAN1L,0.000812303
ARMC10P1,0.000811485
LEKR1,0.000811278
FBXL22,0.000810447
INSYN1-AS1,0.000810417
DHX58,0.000810256
MSR1,0.000809233
ZNF274,0.000808922
FAM184B,0.000808776
TWF1P1,0.000806802
SMARCAD1,0.000806645
