Genes,Importances
MED19,0.000873308
LINC01699,0.000873269
RAD51D,0.000873094
DGCR10,0.000872701
MIR375,0.000872553
SPATA16,0.000872326
LRP10,0.000870204
MIR4299,0.000868533
DUSP28,0.000867961
TRIM31,0.000867532
RETREG1,0.000867448
MIR597,0.000867332
LSMEM2,0.000867265
FBXL15,0.000867182
KIF20B,0.00086651
RFPL3,0.000866064
MTCO1P24,0.000865806
ABCA8,0.000865273
LRRN4,0.000864602
VCY1B,0.000864472
APLN,0.000864275
TRAJ8,0.00086422
ECM2,0.000862715
SORL1,0.000862162
PSAT1P2,0.000861549
PITPNM2,0.000861069
CXorf49B,0.000860545
ZNF169,0.000860111
NIPSNAP1,0.000859485
FMO1,0.000858272
PKMYT1,0.000856447
H2AZ1,0.000856088
FER1L4,0.00085569
MFSD4B,0.000854447
NNT,0.000854381
COG2,0.000851868
CREB3,0.000851464
KRT8P34,0.000850828
CIRBP,0.000849477
CCDC126,0.000849312
GNL2,0.000849158
BANK1,0.00084865
PLXNB1,0.000848362
POMZP3,0.000848217
KIF13A,0.000847549
CFC1B,0.000847389
TMEM132E,0.000847108
OR4N5,0.000846988
POMP,0.000846437
CHCHD4P3,0.000845965
DHX30,0.000845759
MIR3151,0.00084573
LINC02716,0.000845332
HK1,0.000845074
PCDHGB9P,0.000844955
CNTROB,0.000844927
PHYHIPL,0.000843334
SNAP91,0.000842511
SLC29A4,0.000842299
HSD17B13,0.000842022
RNA5SP116,0.000841994
RN7SL290P,0.000841722
PLA1A,0.000841128
RPF1,0.000840078
CTNNA3,0.000840067
OR7E87P,0.000838893
LINC00993,0.000838274
KISS1R,0.00083733
IRX3,0.000837054
PLET1,0.000836971
RAB1C,0.000836686
YRDC,0.000836325
H3P31,0.000836207
TNRC6A,0.000836166
SLC16A14,0.000835721
ASCC3,0.000835354
STAR,0.000834944
C9orf116,0.000834274
FBXO45,0.000832703
SMN2,0.000832198
TRH,0.000832175
CFHR4,0.000831298
IGHG1,0.000830923
AMBN,0.000830238
IFT22,0.000830041
STK35,0.000829042
